aircraft_type,landing_stabilisation_speed_type
A306,5
A310,5
A318,2
A319,4
A320,4
A321,4
A332,4
A333,4
A343,1
A346,1
A359,4
A388,4
B733,0
B734,0
B736,0
B737,0
B738,0
B739,0
B744,0
B752,0
B753,0
B763,0
B764,0
B772,0
B77L,0
B77W,0
B788,0
B789,0
CRJ9,7
DH8D,7
E190,6
F100,9
F70,9
RJ1H,0
A20N,4
A21N,4
A35K,4
B38M,0
BCS1,8
BCS3,8
CL35,8
E195,6
E75L,6
B748,7
MD11,7
DC10,7
B762,7
MD88,0
MD83,7
AN12,7
CVLT,7
B712,7
GL5T,7
GLEX,7
GLF5,7
GLF6,7
B732,7
E75S,0
CRJ2,0
DH8A,0
E145,0
CRJ7,7
CL60,0
E135,0
CRJ1,0
E170,0
F900,7
E45X,0
DH8C,0
GLF4,7
FA7X,7
E35L,7
B190,7
C208,7
CL30,7
C560,0
LJ45,7
H25B,0
F2TH,7
C56X,7
E545,0
GALX,7
C25A,7
LJ35,7
C750,0
E50P,7
BE20,7
E55P,7
C680,7
C650,7
C25B,7
G280,7
PC12,7
B350,7
LJ60,7
C525,7
P180,7
C68A,7
BE40,7
J328,7
LJ40,7
G150,7
C510,7
FA50,7
LJ75,7
C441,7
ASTR,7
BE30,7
BE58,7
LJ70,7
HA4T,7
C25C,7
C550,7
FA10,7
FA20,7
BE10,7
BE9L,7
