Aircraft_Type,Landing_Stabilisation_Speed_Type_Lead,Landing_Stabilisation_Speed_Type_Follower,Min_Safe_Landing_Speed_Lead,Min_Safe_Landing_Speed_Follower,Apply_Gusting_Lead,Apply_Gusting_Follower,Local_Stabilisation_Distance_Lead,Local_Stabilisation_Distance_Follower,Steady_Procedural_Speed_Lead,Steady_Procedural_Speed_Follower,Final_Deceleration_Lead,Final_Deceleration_Follower,End_Initial_Deceleration_Distance_Follower,Initial_Procedural_Speed_Follower,Initial_Deceleration_Follower
A306,5,5,129.6,134.6,1,1,4,4,180,12,160,162,23.9,23.9,9.8
A310,5,5,141.6,146.6,1,1,4,4,180,12,160,162,14.5,14.5,10.9
A318,2,2,122,127,1,1,4,4,180,12,160,162,24,24,11.1
A319,4,4,124.8,129.8,1,1,4,4,180,12,160,162,23.6,23.6,9.5
A320,4,4,130.8,135.8,1,1,4,4,180,12,160,162,17.6,17.6,10.2
A321,4,4,134.3,139.3,1,1,4,4,180,12,160,162,14.3,14.3,9.7
A343,1,1,132.3,137.3,1,1,4,4,180,12,160,162,13.4,13.4,12.3
A346,1,1,141.3,146.3,1,1,4,4,180,12,160,162,11.2,11.2,10.2
A359,4,4,133.5,138.5,1,1,4,4,180,12,160,162,20.5,20.5,9.9
A388,4,4,133.6,138.6,1,1,5,5,180,12,160,162,14.9,14.9,7.7
B733,0,0,134.3,139.3,1,1,4,4,180,12,160,162,17.5,17.5,12.4
B734,0,0,138.8,143.8,1,1,4,4,180,12,160,162,14.9,14.9,12.4
B736,0,0,125.8,130.8,1,1,4,4,180,12,160,162,21.1,21.1,7.4
B737,0,0,130.3,135.3,1,1,4,4,180,12,160,162,18.2,18.2,7.8
B738,0,0,139.4,144.4,1,1,4,4,180,12,160,162,11.9,11.9,8.8
B739,0,0,141.6,146.6,1,1,4,4,180,12,160,162,13.2,13.2,9.8
B744,0,0,144.8,149.8,1,1,4,4,180,12,160,162,10.5,10.5,9.6
B752,0,0,127.9,132.9,1,1,4,4,180,12,160,162,20,20,10.7
B763,0,0,136.7,141.7,1,1,4,4,180,12,160,162,17.8,17.8,11.1
B772,0,0,136,141,1,1,4,4,180,12,160,162,20.6,20.6,10.4
B77L,0,0,139.7,144.7,1,1,4,4,180,12,160,162,17.1,17.1,9.6
B77W,0,0,144.3,149.3,1,1,4,4,180,12,160,162,12.5,12.5,9.1
B788,0,0,139,144,1,1,4,4,180,12,160,162,16,16,11.7
B789,0,0,141,146,1,1,4,4,180,12,160,162,11.1,11.1,10.3
CRJ9,7,7,132.2,137.2,1,1,4,4,180,12,160,162,14.7,14.7,15.9
DH8D,7,7,115,120,1,1,4,4,180,12,160,162,17.5,17.5,12.4
E190,6,6,127.5,132.5,1,1,4,4,180,12,160,162,20.6,20.6,12.4
F100,9,9,127,132,1,1,4,4,180,12,160,162,19.9,19.9,12.4
F70,9,9,128.8,133.8,1,1,4,4,180,12,160,162,18.5,18.5,10.5
RJ1H,0,0,126.4,131.4,1,1,4,4,180,12,160,162,21.8,21.8,12.4
A20N,4,4,127,132,1,1,4,4,180,12,160,162,23.6,23.6,9.8
A21N,4,4,128.9,133.9,1,1,4,4,180,12,160,162,23.4,23.4,9.8
A35K,4,4,139,144,1,1,4,4,180,12,160,162,20.3,20.3,9.9
B38M,0,0,141.2,146.2,1,1,4,4,180,12,160,162,12.3,12.3,9.8
BCS1,8,8,131.2,136.2,1,1,4,4,180,12,160,162,19,19,9.8
BCS3,8,8,135.5,140.5,1,1,4,4,180,12,160,162,17.5,17.5,9.8
CL35,8,8,126,131,1,1,4,4,180,12,160,162,17.4,17.4,9.8
E195,6,6,132.2,137.2,1,1,4,4,180,12,160,162,15.9,15.9,12.4
E75L,6,6,131.1,136.1,1,1,4,4,180,12,160,162,21.2,21.2,12.4
A332,4,4,130,135,1,1,4,4,180,12,160,162,17.2,17.2,9.9
A333,4,4,132.5,137.5,1,1,4,4,180,12,160,162,15.4,15.4,9.9
B753,0,0,136.8,141.8,1,1,4,4,180,12,160,162,18.6,18.6,10.9
B764,0,0,140.8,145.8,1,1,4,4,180,12,160,162,19.5,19.5,10.9
