Aircraft_Type,ICAO_WTC,RECAT_7_Group,Comment
A1,M,CAT-G,
A10,M,CAT-F,
A122,L,CAT-G,
A124,H,CAT-B,
A140,M,CAT-F,
A148,M,CAT-E,
A158,M,CAT-E,
A16,L,CAT-G,
A19,L,CAT-G,
A19N,M,CAT-D,
A20,M,CAT-G,
A20N,M,CAT-D,
A21,L,CAT-G,
A210,L,CAT-G,
A211,L,CAT-G,
A21N,M,CAT-D,
A22,L,CAT-G,
A223,L,CAT-G,
A225,H,No RECAT,No RECAT
A23,L,CAT-G,
A27,L,CAT-G,
A270,L,CAT-G,
A29,L,CAT-G,
A3,M,CAT-F,
A306,H,CAT-C,
A30B,H,CAT-C,
A31,L,CAT-G,
A310,H,CAT-C,
A318,M,CAT-D,
A319,M,CAT-D,
A320,M,CAT-D,
A321,M,CAT-D,
A33,L,CAT-G,
A332,H,CAT-B,
A333,H,CAT-B,
A342,H,CAT-B,
A343,H,CAT-B,
A345,H,CAT-B,
A346,H,CAT-B,
A35,L,CAT-G,
A359,H,CAT-B,
A35K,H,CAT-B,
A37,L,CAT-G,
A388,S,CAT-A,
A3ST,H,CAT-C,
A4,M,CAT-G,
A400,H,CAT-C,
A50,H,CAT-C,
A500,L,CAT-G,
A504,L,CAT-G,
A6,M,CAT-F,
A660,L,CAT-G,
A7,M,CAT-F,
A700,L,CAT-G,
A743,M,CAT-E,
A748,M,CAT-E,
A890,L,CAT-G,
A9,L,CAT-G,
A900,L,CAT-G,
A910,L,CAT-G,
AA1,L,CAT-G,
AA37,L,CAT-G,
AA5,L,CAT-G,
AAT3,L,CAT-G,
AAT4,L,CAT-G,
AB11,L,CAT-G,
AB15,L,CAT-G,
AB18,L,CAT-G,
AB95,L,CAT-G,
AC11,L,CAT-G,
AC4,L,CAT-G,
AC50,L,CAT-G,
AC52,L,CAT-G,
AC56,L,CAT-G,
AC5A,L,CAT-G,
AC5M,L,CAT-G,
AC68,L,CAT-G,
AC6L,L,CAT-G,
AC72,L,CAT-G,
AC80,L,CAT-G,
AC90,L,CAT-G,
AC95,L,CAT-G,
ACAM,L,CAT-G,
ACAR,L,CAT-G,
ACED,L,CAT-G,
ACPL,L,CAT-G,
ACR2,L,CAT-G,
ACRD,L,CAT-G,
ACRO,L,CAT-G,
ACSR,L,CAT-G,
AD20,L,CAT-G,
ADVE,L,CAT-G,
AE45,L,CAT-G,
AEA1,L,CAT-G,
AERK,L,CAT-G,
AEST,L,CAT-G,
AFOX,L,CAT-G,
AG02,L,CAT-G,
AI10,L,CAT-G,
AIGT,L,CAT-G,
AIRD,L,CAT-G,
AIRL,L,CAT-G,
AJ27,M,CAT-F,
AJET,M,CAT-G,
AK1,L,CAT-G,
AKRO,L,CAT-G,
ALBU,L,CAT-G,
ALC1,L,CAT-G,
ALGR,L,CAT-G,
ALIG,L,CAT-G,
ALIZ,M,CAT-G,
ALPI,L,CAT-G,
ALSL,L,CAT-G,
ALTO,L,CAT-G,
AM3,L,CAT-G,
AMX,M,CAT-G,
AN12,M,CAT-D,
AN2,L,CAT-G,
AN22,H,CAT-B,
AN24,M,CAT-E,
AN26,M,CAT-E,
AN28,L,CAT-G,
AN3,L,CAT-G,
AN30,M,CAT-E,
AN32,M,CAT-E,
AN38,M,CAT-G,
AN70,M,CAT-D,
AN72,M,CAT-E,
AN8,M,CAT-D,
ANGL,L,CAT-G,
ANSN,L,CAT-G,
AP20,L,CAT-G,
AP22,L,CAT-G,
AP26,L,CAT-G,
AP28,L,CAT-G,
AP36,L,CAT-G,
APM2,L,CAT-G,
APM3,L,CAT-G,
APM4,L,CAT-G,
APUP,L,CAT-G,
AR11,L,CAT-G,
AR15,L,CAT-G,
AR50,L,CAT-G,
AR5T,L,CAT-G,
AR65,L,CAT-G,
AR6T,L,CAT-G,
AR79,L,CAT-G,
ARCE,L,CAT-G,
ARCP,L,CAT-G,
ARES,L,CAT-G,
ARKS,L,CAT-G,
ARON,L,CAT-G,
ARV1,L,CAT-G,
ARVA,L,CAT-G,
ARWF,L,CAT-G,
AS02,L,CAT-G,
AS14,L,CAT-G,
AS16,L,CAT-G,
AS20,L,CAT-G,
AS21,L,CAT-G,
AS22,L,CAT-G,
AS24,L,CAT-G,
AS25,L,CAT-G,
AS26,L,CAT-G,
AS28,L,CAT-G,
AS29,L,CAT-G,
AS2T,L,CAT-G,
AS30,L,CAT-G,
AS31,L,CAT-G,
AS80,L,CAT-G,
ASO4,L,CAT-G,
ASTO,L,CAT-G,
ASTR,M,CAT-G,
AT2P,L,CAT-G,
AT3,M,CAT-G,
AT3P,L,CAT-G,
AT3T,L,CAT-G,
AT43,M,CAT-F,
AT44,M,CAT-F,
AT45,M,CAT-F,
AT46,M,CAT-F,
AT5P,L,CAT-G,
AT5T,L,CAT-G,
AT6T,L,CAT-G,
AT72,M,CAT-F,
AT73,M,CAT-F,
AT75,M,CAT-F,
AT76,M,CAT-F,
AT8T,M,CAT-G,
ATAC,L,CAT-G,
ATG1,L,CAT-G,
ATIS,L,CAT-G,
ATL,L,CAT-G,
ATLA,M,CAT-D,
ATP,M,CAT-E,
ATTL,L,CAT-G,
AU11,L,CAT-G,
AUJ2,L,CAT-G,
AUJ4,L,CAT-G,
AUS3,L,CAT-G,
AUS4,L,CAT-G,
AUS5,L,CAT-G,
AUS6,L,CAT-G,
AUS7,L,CAT-G,
AUS9,L,CAT-G,
AV68,L,CAT-G,
AVID,L,CAT-G,
AVIN,L,CAT-G,
AVK4,L,CAT-G,
B1,H,CAT-C,
B13,L,CAT-G,
B14A,L,CAT-G,
B14B,L,CAT-G,
B14C,L,CAT-G,
B17,M,CAT-E,
B18T,L,CAT-G,
B190,M,CAT-G,
B2,H,CAT-C,
B209,L,CAT-G,
B23,M,CAT-G,
B24,M,CAT-D,
B25,M,CAT-F,
B26,M,CAT-F,
B26M,M,CAT-G,
B29,M,CAT-D,
B350,L,CAT-G,
B360,L,CAT-G,
B36T,L,CAT-G,
B37M,M,CAT-D,
B38M,M,CAT-D,
B39M,M,CAT-D,
B461,M,CAT-F,
B462,M,CAT-F,
B463,M,CAT-F,
B52,H,CAT-B,
B58T,L,CAT-G,
B60,L,CAT-G,
B60T,L,CAT-G,
B701,M,CAT-D,
B703,H,CAT-C,
B712,M,CAT-E,
B720,M,CAT-D,
B721,M,CAT-D,
B722,M,CAT-D,
B732,M,CAT-E,
B733,M,CAT-E,
B734,M,CAT-E,
B735,M,CAT-E,
B736,M,CAT-D,
B737,M,CAT-D,
B738,M,CAT-D,
B739,M,CAT-D,
B741,H,CAT-B,
B742,H,CAT-B,
B743,H,CAT-B,
B744,H,CAT-B,
B748,H,CAT-B,
B74D,H,CAT-B,
B74R,H,CAT-B,
B74S,H,CAT-B,
B752,M,CAT-D,
B753,M,CAT-D,
B762,H,CAT-C,
B763,H,CAT-C,
B764,H,CAT-C,
B772,H,CAT-B,
B773,H,CAT-B,
B778,H,TBC,TBC
B779,H,TBC,TBC
B77L,H,CAT-B,
B77W,H,CAT-B,
B788,H,CAT-B,
B789,H,CAT-B,
B78X,H,CAT-B,
BA11,M,CAT-E,
BAR6,L,CAT-G,
BARC,L,CAT-G,
BASS,L,CAT-G,
BBAT,L,CAT-G,
BBIR,L,CAT-G,
BCA3,L,CAT-G,
BCAT,L,CAT-G,
BCS1,M,CAT-D,
BCS3,M,CAT-D,
BD10,L,CAT-G,
BD12,L,CAT-G,
BD17,L,CAT-G,
BD4,L,CAT-G,
BD5,L,CAT-G,
BD5J,L,CAT-G,
BD5T,L,CAT-G,
BDOG,L,CAT-G,
BE10,L,CAT-G,
BE17,L,CAT-G,
BE18,L,CAT-G,
BE19,L,CAT-G,
BE20,L,CAT-G,
BE23,L,CAT-G,
BE24,L,CAT-G,
BE30,L,CAT-G,
BE32,M,CAT-G,
BE33,L,CAT-G,
BE35,L,CAT-G,
BE36,L,CAT-G,
BE40,M,CAT-G,
BE45,M,CAT-G,
BE50,L,CAT-G,
BE55,L,CAT-G,
BE56,L,CAT-G,
BE58,L,CAT-G,
BE60,L,CAT-G,
