NAS AC TYPE,RECAT EU WTC,NATS 6CAT WTC
A10,S,S
A109,L,L
A124,J,H
A139,L,L
A140,S,S
A148,S,M
A189,L,S
A20N,M,M
A21N,M,M
A225,J,H
A300,U,H
A306,U,H
A30B,U,H
A310,U,H
A318,M,M
A319,M,M
A320,M,M
A321,M,M
A330,H,H
A332,H,H
A333,H,H
A339,H,H
A340,H,H
A342,H,H
A343,H,H
A345,H,H
A346,H,H
A358,H,H
A359,H,H
A35K,H,H
A380,J,J
A388,J,J
A3ST,U,H
A4,L,L
A400,U,H
A6,S,S
A7,S,S
A748,S,S
AA5,L,L
AC11,L,L
AC21,L,L
AC50,L,L
AC52,L,L
AC56,L,L
AC68,L,L
AC6L,L,L
AC6T,L,L
AC72,L,L
AC80,L,L
AC90,L,L
AC95,L,L
AEST,L,L
AJET,L,L
ALIZ,L,L
AMX,L,L
AN12,M,M
AN22,H,M
AN24,S,S
AN26,S,S
AN28,L,S
AN30,S,S
AN32,S,S
AN72,S,S
AN8,M,M
AS32,L,S
AS3B,L,S
AS50,L,L
AS55,L,L
AS56,L,L
AS65,L,L
ASTR,L,L
AT43,S,L
AT44,S,L
AT45,S,S
AT72,S,S
AT73,S,S
AT75,S,S
AT76,S,S
ATLA,M,S
ATP,S,S
B06,L,L
B06T,L,L
B1,U,H
B105,L,L
B190,L,L
B2,U,H
B212,L,L
B350,L,L
B38M,M,M
B407,L,L
B430,L,L
B461,S,M
B462,S,M
B463,S,M
B52,U,H
B58T,L,L
B609,L,H
B701,U,M
B703,U,M
B712,S,M
B720,U,M
B721,M,M
B722,M,M
B731,S,M
B732,S,M
B733,S,M
B734,S,M
B735,S,M
B736,M,M
B737,M,M
B738,M,M
B739,M,M
B741,H,H
B742,H,H
B743,H,H
B744,H,H
B748,H,H
B74D,H,H
B74S,H,H
B752,U,U
B753,U,U
B762,U,H
B763,U,H
B764,U,H
B772,H,H
B773,H,H
B77L,H,H
B77W,H,H
B783,H,H
B788,H,H
B789,H,H
B78X,H,H
BA10,L,L
BA11,S,M
BA46,M,M
BALL,L,L
BASS,L,L
BCS1,M,M
BCS3,M,M
BDOG,L,L
BE10,L,L
BE18,L,L
BE20,L,L
BE23,L,L
BE24,L,L
BE30,L,L
BE33,L,L
BE35,L,L
BE36,L,L
BE40,L,L
BE50,L,L
BE55,L,L
BE58,L,L
BE60,L,L
BE65,L,L
BE70,L,L
BE76,L,L
BE80,L,L
BE88,L,L
BE95,L,L
BE99,L,L
BE9L,L,L
BE9T,L,L
BELF,U,M
BL17,L,L
BN2P,L,L
BN2T,L,L
BS60,L,L
BUC,S,S
C10T,L,L
C130,M,M
C135,U,H
C141,U,H
C150,L,L
C152,L,L
C160,M,M
C17,U,H
C172,L,L
C177,L,L
C182,L,L
C2,S,L
C206,L,L
C207,L,L
C208,L,L
C210,L,L
C212,L,M
C25A,L,L
C25B,L,L
C25C,L,L
C25M,L,L
C27J,S,S
C295,S,M
C303,L,L
C30J,M,M
C310,L,L
C320,L,L
C336,L,L
C337,L,L
C340,L,L
C402,L,L
C404,L,L
C411,L,L
C414,L,L
C421,L,L
C425,L,L
C441,L,L
C5,H,H
C500,L,L
C501,L,L
C510,L,L
C525,L,L
C526,L,L
C550,L,L
C551,L,L
C55B,L,L
C560,L,L
C56X,L,L
C650,L,L
C680,L,L
C68A,L,L
C750,S,L
C82S,L,L
C82T,L,L
CL30,M,S
CL35,S,S
CL44,M,M
CL60,S,S
CN35,S,L
CNBR,S,S
CNT,M,M
COL3,L,L
COL4,L,L
COMT,M,M
CONC,H,H
CRJ1,S,S
CRJ2,S,S
CRJ7,S,S
CRJ9,S,S
CRJX,S,M
CVLP,S,S
CVLT,M,M
D228,L,L
D28D,L,L
D28T,L,L
D328,L,L
DA40,L,L
DA42,L,L
DA62,L,L
DAUP,L,L
DC10,U,H
DC3,L,L
DC4,M,S
DC6,M,M
DC85,U,U
DC86,U,U
DC87,U,U
DC9,S,M
DC91,S,M
DC92,S,M
DC93,S,M
DC94,S,M
DC95,S,M
DH89,L,L
DH8A,S,S
DH8B,S,S
DH8C,S,S
DH8D,S,S
DHC1,L,L
DHC2,L,L
DHC5,S,S
DHC6,L,L
DHC7,S,S
DO28,L,L
DOVE,L,L
DR10,L,L
E101,S,S
E110,L,L
E120,L,L
E121,L,L
E135,S,S
E145,S,S
E170,S,S
E190,S,M
E195,S,M
E295,M,M
E35L,S,S
E3CF,U,H
E3TF,U,H
E400,L,L
E50P,L,L
E545,S,S
E550,S,S
E55P,L,L
E6,U,H
E75L,S,S
E75S,S,S
EA50,L,L
EC25,L,S
EC35,L,L
EC45,L,L
EC55,L,L
EC75,L,S
